epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.90268,2.29525,3.12347,2.36653,0.00333,1,0.01793,0.00582,1.605,4.52476,2.26943,0,0,0
2,5.66822,2.05016,3.08732,2.09956,0.00333,1,0.03275,0.00934,1.60028,4.37043,2.26002,1.9802e-05,1.9802e-05,1.9802e-05
3,8.32712,2.01587,3.20621,2.0558,0.00333,1,0.03409,0.01157,1.43291,4.29071,2.14823,3.9208e-05,3.9208e-05,3.9208e-05
4,10.974,1.84077,3.21575,2.034,0.00333,1,0.04313,0.01482,1.28249,4.33,2.04614,5.8218e-05,5.8218e-05,5.8218e-05
5,13.6806,1.73064,3.07545,1.75305,0.00333,1,0.03259,0.00878,1.22844,4.48123,1.95743,7.6832e-05,7.6832e-05,7.6832e-05
6,16.2841,1.79067,3.35135,2.01212,0.00333,1,0.01076,0.00484,1.09909,4.56076,1.8402,9.505e-05,9.505e-05,9.505e-05
7,18.842,1.8817,2.94848,2.00914,0.00333,1,0.01211,0.00558,1.02075,4.61161,1.8182,0.000112872,0.000112872,0.000112872
8,21.5361,1.89016,3.20921,1.97839,0.00333,1,0.01329,0.00566,0.99681,4.6099,1.81807,0.000130298,0.000130298,0.000130298
9,24.2126,1.54901,3.10976,1.7989,0.00333,1,0.01316,0.00574,1.01851,4.58604,1.78553,0.000147328,0.000147328,0.000147328
10,26.7188,1.34007,2.65394,1.56614,0.00333,1,0.03913,0.01799,1.0628,4.43757,1.70849,0.000163962,0.000163962,0.000163962
11,29.3014,1.40444,2.62158,1.58325,0.00333,1,0.0995,0.02682,1.09173,4.57214,1.75411,0.0001802,0.0001802,0.0001802
12,31.8951,1.50628,2.6431,1.77373,0.00333,1,0.0995,0.03131,1.2466,4.61033,1.78994,0.000196042,0.000196042,0.000196042
13,34.4642,1.79486,3.0599,2.01437,0.00333,1,0.0995,0.03301,1.36368,4.67739,1.853,0.000211488,0.000211488,0.000211488
14,37.0178,1.17105,2.15243,1.40163,0.00333,1,0.10949,0.02274,1.47613,4.6728,1.91962,0.000226538,0.000226538,0.000226538
15,39.6847,1.72826,2.54796,1.68076,0.00333,1,0.06889,0.02868,1.63541,4.38927,1.93284,0.000241192,0.000241192,0.000241192
16,42.3145,1.58925,2.16604,1.69217,0.00333,1,0.07113,0.02741,1.79755,4.63582,1.96774,0.00025545,0.00025545,0.00025545
17,44.9489,1.54365,2.22928,1.65365,0.00333,1,0.06419,0.01751,1.96135,4.61183,1.98479,0.000269312,0.000269312,0.000269312
18,47.4186,1.33326,2.10363,1.53732,0.00333,1,0.06419,0.01751,1.96135,4.61183,1.98479,0.000282778,0.000282778,0.000282778
19,50.0652,1.31455,2.1748,1.44748,0.00333,1,0.02261,0.00847,2.19098,4.42558,2.27656,0.000295848,0.000295848,0.000295848
20,52.6412,1.03466,1.97053,1.37916,0.00333,1,0.02261,0.00847,2.19098,4.42558,2.27656,0.000308522,0.000308522,0.000308522
21,55.2547,1.34857,2.44241,1.42024,0.00333,1,0.0062,0.00186,2.4557,4.94947,2.65352,0.0003208,0.0003208,0.0003208
22,57.6746,1.13414,2.54055,1.40909,0.00333,1,0.0062,0.00186,2.4557,4.94947,2.65352,0.000332682,0.000332682,0.000332682
23,60.5263,1.3226,2.27096,1.4844,0.00167,0.5,0.00146,0.00041,3.35066,5.04679,3.25499,0.000344168,0.000344168,0.000344168
24,63.2757,1.34219,2.48103,1.50733,0.00167,0.5,0.00146,0.00041,3.35066,5.04679,3.25499,0.000355258,0.000355258,0.000355258
25,65.9151,1.51426,2.16394,1.60266,0.00167,0.5,0.00126,0.00025,3.56931,4.99788,3.16341,0.000365952,0.000365952,0.000365952
